session_id,user_id,session_start_timestamp,booking_timestamp,time_to_booking
B2FXdB1i8sYJqSG6,null,37:49.7,null,
tq7ej61OarNaLo5G,Tw1zkVaJXtEhNx1t,30:52.8,43:02.4,12.1599216
e77iBOvqd2xLrRiz,2oDtLbfPrJnzH1Dg,53:01.8,null,
iwxtWqDkNqEECCBd,null,47:09.9,null,
u9aklFhaONRRHu2k,2oDtLbfPrJnzH1Dg,25:35.4,35:35.5,10.00068449
QCesRKRT6lYw8znF,6DrvqE3qEmAtqCMI,39:15.8,null,
nlbmVVOjJO1pXNnI,hQLoXaGcMLV9o98P,51:13.0,null,
TdazoCTQXqJVcq4C,hQLoXaGcMLV9o98P,32:16.8,null,
xMSb7fcdjZZsga24,hQLoXaGcMLV9o98P,24:33.9,null,
POJvvA2CANhGuqn6,rLEt6gKAhnXogGZH,08:37.5,24:17.6,15.66776384
7ZfAPuyiBiVXwuet,rLEt6gKAhnXogGZH,06:41.0,null,
O26gqLahz4rc1iiW,daOnELX0tcITGocB,06:17.5,null,
YKr9anJ6tTpq0DoD,daOnELX0tcITGocB,31:05.9,null,
9z2AcJD8glNa0Wxw,daOnELX0tcITGocB,25:31.0,null,
IZUSQ0GPCVPMhHdm,AUUGs35GEdFPB3pW,47:08.2,null,
SKzRXwk6sOuYjjxm,QBoVvE7uFgGhn94y,44:18.0,null,
Ytv1OGfwTiaxfcJn,QBoVvE7uFgGhn94y,07:24.2,24:15.2,16.84997088
rSDRjXTop2ypF16T,FBbqAbhLtWK4uzEt,21:37.6,null,
RYfg3EMwvhGvGwf3,FBbqAbhLtWK4uzEt,30:51.0,null,
boepXvuL0LxxJaVM,fXo4azCbv87CiOu2,03:27.0,null,
weVmS6Xxu7HaysEQ,fXo4azCbv87CiOu2,47:30.3,null,
TzJbj9VN37ZH7L2t,null,17:02.9,null,
5wtlAMe9ar7RhYuv,4FFURNzV9mcFGGPP,35:28.6,null,
4WQtp8neWgPkIpzp,mQfdLfYcANtrtDjZ,55:35.9,null,
ecmXN8ITmFM5Obhe,wUcZX59iWsJNAPBQ,20:30.1,null,
kuVY0a9pnwHoh8ER,wUcZX59iWsJNAPBQ,47:49.0,null,
GZx3VdTY33yKwgVz,YhPVhr6uTmAU79N0,55:38.6,null,
6LgHUDUSz7dswqCE,null,17:34.9,null,
sflcy6HfzcwsczT2,pNiAqc30dNZ3anhg,11:12.2,21:35.0,10.37948031
IeC4rE6IHZC5BmoF,DyMpkyG81ZYVuZZj,31:14.2,null,
70O6yG3AeKXn7DFo,3XiaHEuxs8V77uyt,15:12.0,null,
QKKgMapJO5Q03xJz,0zgcN3Vh0Dkh4Kqh,47:29.2,null,
ME2YyKRYimr9MMRQ,0zgcN3Vh0Dkh4Kqh,57:09.4,null,
SR8Gwdup9P4VMpWw,URDQQp2duXH9NImQ,03:48.8,null,
dxXb42szdEt4PfAq,AhOPC9pQ0TeKNNP7,15:55.2,null,
Y1zhymyITNswmS0J,jouHvvizm1rawGUE,17:34.0,null,
TRa4cyQavX9JtUEu,5uwp8AKLZnKUglBc,11:18.9,25:01.1,13.70390203
1SxiCGrnPV2ucaDX,vYuCtcAuOGDVMO6i,14:32.8,null,
k4BaybtfXGZp3Buw,VLw1wauFSzG7iqfT,55:34.5,null,
6kCbUt2reaL8zQr9,VLw1wauFSzG7iqfT,49:34.2,null,
6ZWenWCqDmXS4IbS,gg44KeGXjqNBUTvu,33:35.0,null,
Us2snY75tBnrz70q,null,36:02.2,null,
f5JM3pLSD4WR1VOe,9U3FFYJEf1uInw9P,34:26.2,null,
ALICnpp2ONFSJvNT,9U3FFYJEf1uInw9P,15:44.7,null,
8ODKxYOG3wJWi1Bz,null,49:00.8,null,
8JZkpkBnxhD1XuDn,JzJOd17m2x2EvNrH,10:02.4,null,
MiEFpl8fAUpPmWtk,null,56:59.0,null,
hIrytAZHkfNzQdVs,i3VWrNcJfRLasLBU,14:59.0,null,
PezgIKL6dlCDzkmb,iUjxzhemvHywOVuc,04:25.5,null,
z9tmYuXXBZIKSUtw,iUjxzhemvHywOVuc,46:42.6,57:49.8,11.11941573
Rd2JF2D9GrVnsVud,null,35:10.4,null,
cz0dyf5GeA1oOc5A,hTX9MYMvSkwWpZ7Y,10:37.5,null,
tXRhcqHCLTxtsWrL,hTX9MYMvSkwWpZ7Y,06:59.4,null,
ENybKRgZtxZ1wO8G,BIPC63LfWnCW9BjT,31:23.7,null,
K2nNVr35jiRW7Lg2,null,29:08.2,null,
J5MDVVvpRH8SKy2f,WhNpLROHfMNWw0Xu,10:46.2,null,
UhWwA4rbDPCnYpk5,WhNpLROHfMNWw0Xu,13:53.7,null,
c0jpssfoUexixG9n,IUCIbGzRFrHDRwV2,20:01.2,null,
B2xL9loEX5OM3no2,tT5wNhn7wTnb5dxY,26:43.9,null,
6wtU3334vfsrulLq,tT5wNhn7wTnb5dxY,25:38.6,null,
5O1OGLXiKN1rAsDv,JipFFAoWdJ5yo7lg,13:00.7,null,
pz5swGtyTUN9pLjF,JxfVO7SEu7kpnynL,49:50.1,null,
rmQYTyrKYR8Ej4aW,rnxYhSyHSRBxr4HP,46:59.7,null,
A9eMNWNZN0rikGFB,null,25:08.6,40:38.5,15.49772315
yihA2PYBy4I0Mk0W,rnxYhSyHSRBxr4HP,40:11.0,null,
MVYoPDTdgApaKU3Y,clJeslAqQBNvjOfq,18:35.3,null,
k12E0VjoyihySrIu,null,00:16.8,null,
x0n9paRlaivq5mKZ,lfQvXpdyG4aoqQ5s,08:19.7,30:45.7,22.43194001
PEPe3AfQkW6dYqBW,lfQvXpdyG4aoqQ5s,10:48.0,27:56.2,17.13703692
3EM3RuwsJPcfI2ha,1Xstawpxto5x5KOG,11:26.4,null,
hZ19SsDu8AXHwWvT,F583EoaWlIKVDzk7,13:54.0,null,
om2cBXqx7iJsi7ZN,Fbj7Tvi1246D0yur,35:07.5,null,
mgakupYewMXj0zE4,tYNpWMICT3DZ20Vc,01:38.0,null,
KpfvQkdRRSTovhjA,2F5nzeBhSVGJ7mtr,25:12.1,null,
Kiyvr5DAA7tBR10u,2F5nzeBhSVGJ7mtr,26:48.4,null,
TzagzcFY6YufmB6C,YXtQGuTxBeDQ0xMn,41:03.1,null,
6Ne0RrhiB0Ger3tX,JJz2mNuzHNnuQ6WU,29:09.8,41:08.9,11.98605076
OpjseOxgCgW5zjrg,null,05:09.1,null,
saZLSif4eVHzQfyO,KEXPMqBdf7s5wN7S,08:17.1,null,
IBRFPTx87tZpmGVX,Pfxv0unxyq6YTIq3,13:15.6,null,
ZGiLRqunyGxt80HA,BbHaUc63vPdoJM1l,27:08.8,null,
izNBKvDcE51aImE2,KVO5gEeAyqB2A0zW,47:24.2,null,
PCWHuUBh3zXsK6gQ,KVO5gEeAyqB2A0zW,24:45.1,null,
yIkeVnQXTenOUuOK,C7Aq8LpiFaiXgRKN,42:59.2,null,
0obPjN585zUV3FI1,YS7fK9MdWKjjWIhw,42:25.1,null,
MYzjujgcwbehrMz7,WZg0bLtEDVyj7qiQ,53:06.2,12:59.3,19.88374373
8UPOgdLqCvrjkIuC,null,54:48.4,null,
OpKz0sFHNCd4W757,null,30:05.8,null,
PYiRYg0RrMrXW5Ds,5FxpTlI0QUTqC4JI,41:33.0,null,
gWNe5mKARspCe2XV,5FxpTlI0QUTqC4JI,01:43.1,null,
jvEf2KJwHZqP26EN,null,11:09.9,null,
HqtWfFFSYFw3AYlD,null,57:09.9,null,
ZWnhMEMiyRGqvysF,4R1VK7lr0SYXeEbS,35:49.9,null,
f9rkYPKWGKLKEAtC,null,41:19.8,54:49.2,13.49023624
oMnxx1u03BfoHh5n,6ibr3IRyp5ORTt6d,46:38.1,null,
1T6XtHdaqeyrKYf7,null,23:12.7,null,
3bq2ubQhSKrixnVd,0FZtMorgchChaQ1u,58:29.2,null,
0ZQjONb0LL7ZE8Rh,MSbHuVG3M4NgoiDR,02:56.8,null,
eUnyE516YEfxVYQf,Y270qLOMVucK8qq1,49:56.5,null,
P8WGEc6du409dFFt,null,34:41.5,null,
cToBGWD6AQXszAZQ,Y270qLOMVucK8qq1,27:32.1,null,
tBoOwaOObHqnGjMP,kjajyp26L1FZymQp,29:02.0,null,
pIxsIsFW9d9KDU7w,XOtB7h4E1BCP9HKP,46:49.6,59:56.9,13.12118011
ad39xQ12z4wiRFCj,XOtB7h4E1BCP9HKP,19:09.0,null,
DKrVOtsqvoFIjKCK,7teAKKEGVFqQwVSO,43:55.6,00:30.1,16.57497794
iWF5IabTvXgtjh58,K64qVrn7p8xMcmMu,51:28.4,null,
5wsiAlzgZnE2u7Uf,K64qVrn7p8xMcmMu,56:40.0,null,
acRBlJ7KpqpVYqZA,K64qVrn7p8xMcmMu,40:25.3,54:47.2,14.36361123
TfVc7sI9IOK3VscI,8spBeho1irtJS6Rz,17:47.9,null,
CArBy3dxT3KraOwK,bLfcuwzW5vtSD7FV,23:59.2,null,
eM7H5THSV9pi4UfS,bLfcuwzW5vtSD7FV,22:05.1,null,
gLmK4pIP0CocSQgC,null,23:28.0,null,
sMe9jmNKd4w5FrHE,bVNMLDFAlTwo7IOX,09:02.6,null,
tNcO5fSXvaSG4FbL,QcoeBNjTvcXMLJRb,42:24.6,null,
s8NrxbxHA0VRFKhv,14yLD9fou5tmkd0H,51:49.9,null,
E7zbqmummwyBYkle,null,22:55.7,null,
nyUUVWoIyj3sUE15,WlcK1iCB0valdx8c,29:44.8,null,
sQh58XCoXGUOU2v1,WlcK1iCB0valdx8c,04:31.5,null,
IUMSF6sSP1ds2sFi,6faqcYc3irGQz3v7,48:37.8,04:04.7,15.44934747
kKk6JrInwsqoa0Ld,6faqcYc3irGQz3v7,53:04.5,null,
Qrs3WWerWP3LDGyq,null,31:33.7,null,
ErF5OX7wEMRCOrKv,4asfzu9erSotV1B4,49:34.9,03:59.2,14.40526446
h8bIttNi2IRgnsSb,4asfzu9erSotV1B4,26:20.5,null,
FR4vQgHFRnozfRDt,KYiztQgY5iGvahX2,25:27.8,null,
7LVfWCm1ADOoprnO,KYiztQgY5iGvahX2,57:41.9,11:46.5,14.07777742
yTDwrdFv0H7tQRSM,HVM8yGi3RRWq4ksv,26:13.2,null,
1O2vTbrHlTnbCoTi,HVM8yGi3RRWq4ksv,03:11.9,14:34.3,11.37411752
6ectLHSde5QWjOvM,ijyuktlMXofq4eoF,57:46.9,null,
UIaXsA6bcbtVOLyF,ijyuktlMXofq4eoF,18:32.1,33:06.0,14.56627311
UYM4q4h0Mn251l5e,7VYccoVFhfeUpT0q,51:22.9,00:47.5,9.410178724
0kLVM3Q0mbcjFSGE,MexAyuThTHoIzJHI,46:07.2,null,
GndC4byG81KRsxEj,MexAyuThTHoIzJHI,17:43.1,null,
O2xp1WfRgEgjN0pZ,null,08:05.0,null,
KY2yjnn8dj7CXWja,J5qyk63UElyzM3mD,40:34.0,null,
s6OGAGov1HmYug67,J5qyk63UElyzM3mD,24:41.6,null,
lLfsVwpy5i9uOVNT,c1EuTI3CmDfkkdXv,10:21.8,null,
ERTaBi7kr3QWIthH,HDeEBEwcIu7uj6lA,54:54.1,null,
4gTbo4OFIDxBqXgJ,HDeEBEwcIu7uj6lA,06:17.6,null,
RmI3PbnacAXlaFWX,Klwvwwoz1BmIKRLd,41:05.1,null,
DmVQls946xzg4fF4,null,10:55.1,null,
Hy8qBCUG41iYWjK3,nUKhHbh4y9Ak66q5,58:15.0,null,
HWtlaOnSSoGT5Gfq,nUKhHbh4y9Ak66q5,29:00.1,42:42.4,13.70566352
3w7scMKzJnG3DIiV,DYL433jH5o2vynyS,56:31.7,null,
7C2aWCLIL0PWRmi5,DYL433jH5o2vynyS,46:47.3,null,
Y6a7VFJmVh6aSTF3,0qQbCuVb8ZFhJ0A7,30:03.1,null,
zmd1ErCe1k1Apc0l,0qQbCuVb8ZFhJ0A7,34:08.7,null,
e84c8OHPD0B8M1ne,0qQbCuVb8ZFhJ0A7,53:26.6,null,
etY059j25gV2yasu,A4Pw8lfQxK4ytUSK,06:19.1,25:45.5,19.44021633
4I6I5JxkTkmit9RF,f2uEGVq5GWb0NGbS,25:40.5,null,
fhpNaHOthGPkSQE0,f2uEGVq5GWb0NGbS,02:01.0,18:52.3,16.85430198
ekm1FdE7xeFt9Drg,f2uEGVq5GWb0NGbS,01:58.3,null,
xQeTSWaw3VL37r8L,ncz5x8lYide0elSk,59:27.5,null,
UaTD1otUih5waHsv,ncz5x8lYide0elSk,15:27.9,null,
PrD5YMV2T8OkDv1t,ncz5x8lYide0elSk,15:27.1,null,
FCL9avqVcEDaK6dR,B9A1vcukBCqjoWRC,46:40.1,null,
fJopkHXIkKah5g1D,B9A1vcukBCqjoWRC,18:36.4,null,
tXqhSuuzdZNQvO8L,null,26:40.7,36:53.8,10.21879884
HnNN3lQWjCn1bBuC,dMxSxn3zkckUTXfZ,10:25.5,null,
RctrZ1nSxafqDPX0,GWqNrRUdJVMW4oWO,32:52.8,44:48.3,11.92514986
OOtcCd2L1PwUAQE1,zGBDZTBS7NHj1MWo,30:55.6,49:03.2,18.12644604
roBnZy4115OCiGPp,zGBDZTBS7NHj1MWo,18:00.5,null,
MiQLGr1dwdtaew9Q,zGBDZTBS7NHj1MWo,11:29.2,null,
TSl9AkLzeiShNM1Y,RZD9BMzzRavwyhH8,01:37.0,null,
4W4HyO45lYka72ZU,RZD9BMzzRavwyhH8,48:25.7,03:08.4,14.71047447
iugFkeIQWnriphDD,Zobl5r68gPAbIT6V,59:38.2,null,
PzqXlbmbBxr8J5WH,null,48:04.4,null,
rPjQ9jn3AfTJXhMp,null,18:55.4,null,
cFI7sO2zEbdyRq6a,2mdBwYruM8nmVXtm,46:36.5,55:44.4,9.130490494
MQtMVaR3Yq0mO8mq,2mdBwYruM8nmVXtm,25:46.0,null,
a7RNitu4fYDV4IPZ,null,01:11.5,null,
HFxgEgC6NESeVAJQ,null,05:52.4,null,
IMiNVESSkT4YK79C,eppnAP7PEnE2nxIZ,32:59.3,null,
eWdJMabBpis3rj7y,o7tX5BLAal66MAJ9,01:10.7,null,
l3D6OWfsQscp5Mf8,o7tX5BLAal66MAJ9,34:13.7,null,
ySbEjlgKKTNEBmhM,o7tX5BLAal66MAJ9,04:52.4,null,
9YppDBYZZrbmHW1a,ExFtwWcpUbKuc88l,37:01.4,null,
9wU5N6vCJeGqpOvO,By68pluS5vsllVXw,07:20.5,null,
UhCP7nqH4zGtVgsx,By68pluS5vsllVXw,02:27.6,null,
sGEtohZcYAFLKvj6,7PIiuqbK8kueHX5K,51:52.3,null,
7wEEa6HfPcMkar1f,6FjMmbwNcujcojUi,53:48.9,null,
flBtViPW6NG5WW8Y,0pxtDmad7g3XJuDM,48:59.6,null,
tXI1mwTfc99wYpVw,0pxtDmad7g3XJuDM,35:35.2,null,
WcGEWbV3CmSAqe1I,9AWzsn2ZNP5EgGib,04:09.4,null,
ggreWdTTKvuU0yEd,57J9gevHpn7ifSV2,47:00.6,null,
Fi5v0B5h0SDcxZKE,57J9gevHpn7ifSV2,08:25.5,20:25.3,11.99650545
AtD2Jg2xGblnNbRq,YK2Ob36KRPP8sQRq,26:15.2,null,
D185DSCjkuEC7JNR,ad67KDTD5CTucXyc,29:16.0,null,
81p9pFaSIOVSvtYM,ad67KDTD5CTucXyc,08:58.9,null,
YAfRVJiIpZSZZkuA,null,17:15.8,null,
N3ItRR1wKK5kr6nv,kMTVK5uSVnMPENAq,06:51.7,null,
vkPHbSS4FEPLHwik,xI62sHc2rEoUzOS5,25:37.0,40:20.6,14.72749229
yrdbDpx1Fdqz0ock,qmrlvKSkVm2Jy3sa,20:52.1,null,
RRvrKTgUAGAZrs1b,qmrlvKSkVm2Jy3sa,19:43.6,null,
DXW9EwKaDmoo5Jwn,qmrlvKSkVm2Jy3sa,04:25.1,null,
QtAvrWykdXNeLrpi,nbeWgAEOp4xTGHf1,18:30.1,null,
9DnbrL9IP82fbxWO,cHkuM7P9xUb2JD76,40:58.3,null,
tznameQ7CHM4BtBL,cHkuM7P9xUb2JD76,33:22.5,null,
eVQjFYO1Zv9JFl89,AgaNwgq8BtEF8Lc4,10:19.3,null,
W5b260MHvEgSmo3X,qQtEi78wFxiDuZwB,25:56.2,null,
6Uvw241B3wTuaXU8,Tf8toX4Z2AIu6NZl,47:36.0,null,
PS51Xv6BxUYLczHs,veaOWBcF8XLl1fJ1,10:43.1,null,
YRv0aiE6mCX6q1ok,veaOWBcF8XLl1fJ1,36:20.2,null,
oP83JQVhEqkRXp3F,uYzcT1bQiLOXZqu9,31:56.6,50:32.3,18.59411095
LC2PM98HhtTPdx1R,uYzcT1bQiLOXZqu9,41:49.5,null,
06l9Ezg8tKPNdPb3,uQO7Y0IH63ctW0vx,49:55.4,null,
ya7pHPSeVFNWmbDS,QWClIwn4E31MxNYH,09:44.0,null,
FCc8TkFeKxHzyznR,MpavnIn2X16cf6S2,07:44.4,null,
xZ9QgW3JJ8xJNt6X,kKACkb7l4x6xGrNu,55:29.6,null,
vjuwHybtQtKE15nh,kKACkb7l4x6xGrNu,37:52.7,null,
zVnf5sf6jgQNfjQc,vsbqNY2djQnnzkyE,07:41.2,null,
smdxzemMBxqWEqbR,vsbqNY2djQnnzkyE,03:19.6,null,
lB9u8R3cAdX7T6g4,EEQJ5yEwPnXqfesL,12:39.8,null,
DtikDmAuTRx9z0rp,EEQJ5yEwPnXqfesL,30:56.1,null,
kxb9XGzQh7mIbPA9,EEQJ5yEwPnXqfesL,43:22.6,null,
0Zvh3LDnxC3tmqYF,QlIo3JvmTnfkD2ci,22:27.0,null,
D56DzbBxB00tU9x1,QlIo3JvmTnfkD2ci,32:19.7,null,
X8ipqCj203FsLxzy,ogdFlyFoDAXhAofW,50:35.8,null,
KQqiEB3negXsoAYr,6YGu0xwNnMx9OE7Q,14:42.5,null,
sSvTMB5dDYGvEFdI,6YGu0xwNnMx9OE7Q,56:11.6,null,
zkf52jzOMMEBUJJv,cUutBKepAwFDf9go,58:22.6,null,
8SicRGYwBezTJvGe,cUutBKepAwFDf9go,30:07.1,null,
DdFnVzHBmqHeYFD2,cUutBKepAwFDf9go,08:10.8,28:53.1,20.70523039
d28iuDvGgwEs6Kze,91rOToc1YgQHEafD,56:09.3,04:14.1,8.080074267
1dJalWjW7GG96NYp,91rOToc1YgQHEafD,31:50.7,47:17.8,15.45177202
1F7G6AZEif7Lx5N0,cnYe0Q3w3AdeloGz,19:09.7,null,
GDdcqAG0l3drBRrz,gxtO7yt5qAJIViCq,06:05.3,null,
HzE7ab5lcYDVK8PV,gxtO7yt5qAJIViCq,36:18.6,56:24.2,20.09425649
d9sn8olwdaWr4OdD,1gVmrNHknZpQsiCi,47:33.0,null,
8SsG74Rwz46r2dri,1gVmrNHknZpQsiCi,46:07.4,null,
V97xio30kElkjQAC,6bN34g4JuwJEBpyJ,38:02.6,null,
D93jS93thkXrjTe0,6bN34g4JuwJEBpyJ,08:20.8,null,
xCuvaviFI6P7YQNz,ic72jJi9aaiAEcQs,36:00.3,null,
iSk6FUvi4Y8BMGbd,GfzTXQZXxtZZP1mr,03:08.3,null,
UWzHq8NJJ6T4LOQD,GfzTXQZXxtZZP1mr,29:42.1,null,
TLY2rFQEGD5mKHyl,CCO1Upd1RU1Dka08,06:42.8,null,
3YBkhTUJRYesttJw,UBhjfMB0LoRzMZUe,57:09.2,null,
UwQXm4VW8tdTItZc,UBhjfMB0LoRzMZUe,59:42.5,null,
GfhcIRhntfgDa8sy,null,35:42.8,46:21.5,10.64617675
5lYgLZ7qUetUqoDk,cNm768rXCxrYqNF0,16:54.5,null,
t2fBKk1Y1lGhOK67,cNm768rXCxrYqNF0,23:44.9,null,
rfQe28022C57Uoe6,cNm768rXCxrYqNF0,54:44.1,null,
XXtNZQSEqotKDuXa,Jf8vpKjPBQhAKPQy,22:44.6,null,
C6lkU9t8ubfQPrze,PArcHmEnIYVXCoDm,38:39.6,null,
KoxxGnYDcgGz3eZG,RlvfgDFLaJAXMWRl,54:33.5,null,
qjLsEnMFZpQiipny,RlvfgDFLaJAXMWRl,56:10.0,10:52.9,14.7140785
kNppUUbk2hLAdrpD,RlvfgDFLaJAXMWRl,21:03.1,null,
Qw6vZyzUncoHQDwo,49MfMx3ddNdqvAiy,44:21.1,null,
u2giHWSwDquwEuiq,null,39:50.4,null,
f5k5lmHp3pvlRjoq,J6P9LLC5droAIZkJ,21:52.2,null,
aHAwGdrazpjjXLiK,J6P9LLC5droAIZkJ,19:48.9,null,
Xr5sQ3CJBWCixKSR,J6P9LLC5droAIZkJ,13:29.6,null,
6zOcIANcJTlnbOHE,hB4LXaBemRerGbwc,18:42.2,null,
eE8bwsgd68j7VE7h,hB4LXaBemRerGbwc,52:20.6,null,
hwoSxvEfgvqLepvA,hB4LXaBemRerGbwc,02:23.9,null,
ra1J56cwgZNfHvt3,qDEijiDt1XT0XfLF,09:03.9,null,
3u53qNAcWTWtpRO9,uztIVlJTEchStsfc,40:26.9,null,
kzm3epKiu66ygyPS,XEDOX3iDdr7snLbS,13:05.4,null,
S0aw2p6JvS28N3x8,XEDOX3iDdr7snLbS,06:00.1,null,
QZtxtyX1Fu8Qyqn5,XEDOX3iDdr7snLbS,59:15.1,null,
6pzonuKgcvN1V2TH,kCKW8TVPBuymtMHM,28:19.9,37:35.5,9.260239215
Ffj9tLnnfENmaW0w,kCKW8TVPBuymtMHM,52:09.0,null,
T28ShYOC0mDzlPEr,kCKW8TVPBuymtMHM,08:37.5,22:44.4,14.11493422
9zcyQjpS0QkCx7Sj,Shs7eM2xEvM9JZtR,03:18.0,19:16.5,15.97456095
eW8aReirZBDeJbG6,Loa4ad2XYDqgR4AO,35:32.3,null,
9rX8aM0mJGl4kqVM,Loa4ad2XYDqgR4AO,56:47.0,null,
y4NDQAbwNAMP0t6r,wVD97azRUrC80sii,32:13.7,49:07.8,16.90086029
eRFjofuyRxteEgV6,wVD97azRUrC80sii,58:47.0,null,
skeyok3KIerd0nll,wVD97azRUrC80sii,54:12.9,null,
JLI7ND86fAmFOq9r,tjPB38wriszG8Q0O,42:16.3,null,
oT6ddis7Od1pdgvy,tjPB38wriszG8Q0O,57:46.1,null,
yXbwFtT0vZoayW5e,tjPB38wriszG8Q0O,26:40.8,null,
VT9g1cIwVNAjymGR,efdymBg3deSlqNWL,45:30.6,null,
Lx5cRW40mCAKw5bM,efdymBg3deSlqNWL,40:43.9,null,
eqUqyBL5DvwIxcsf,efdymBg3deSlqNWL,06:52.5,null,
2omeb6Q4jPLpfCbm,0AXxKlspYLwH2Hkn,22:56.9,36:36.1,13.65309773
kIbLFIJAtj9oH7zd,y1dK6P5rkF2jqnqf,51:25.6,null,
PyMJB0p3jXJ74nTb,y1dK6P5rkF2jqnqf,21:07.0,35:25.8,14.31262422
IBq52cFIaJWMuk1s,y1dK6P5rkF2jqnqf,45:19.8,null,
9LjeT8Z7y2skTh7I,d72VaQZTJQ7C0W8K,46:17.2,null,
GPjLgST25BDJv1Xg,d72VaQZTJQ7C0W8K,55:45.5,null,
vf0XGPgKhDDLTLi3,d72VaQZTJQ7C0W8K,44:40.8,null,
CGInvIXAb06TH9D4,E6RiPTzpNEAO00vj,31:59.8,null,
TQg0JEHpr25CokVj,E6RiPTzpNEAO00vj,47:42.0,null,
u1RpOdZYz1O5Gsgh,weWKjm41GKfRI4WH,42:53.6,null,
DszOby1zUQbLHPfE,tbxrjFlbe4FAnkB7,09:24.7,null,
EcHVpy0u8seZsBxk,tbxrjFlbe4FAnkB7,20:51.5,null,
WNNWdvKQxCjgDEyn,FsmqC6TsyV3qTZnt,44:49.0,null,
o25Pi4Pmw5yIq5Ak,K6Ef8lz4AokzgLxA,19:36.2,null,
1D1J8HVTuk8jYiIm,K6Ef8lz4AokzgLxA,01:28.3,null,
KS0iBGIcRmrim7I7,wcUrlWdruwowyn0c,46:08.4,null,
95lD9yBo9WGErAl5,wcUrlWdruwowyn0c,37:44.8,null,
paT9o3GJsvlWFqn8,null,15:03.9,null,
05lzlBaJY9NsiUu0,wo4KfM08hkwqBQwq,07:03.1,null,
GoDakaRJ4aftbCRG,null,40:54.8,null,
xovLR8dPYHwfo04S,xi1yixowrDi25Bzk,08:26.4,null,
TCQCaKy7s2ERUc46,null,35:03.2,null,
2q8bg5cFg5J7rH0K,UAlC1QMjLJuQfuWO,58:11.0,null,
hCilDl3LxjO2J7AN,null,04:05.8,15:23.6,11.29650249
2ZYGmguyA7wQHLeq,GkKwDseXozI85S3H,21:25.2,null,
IJu3BLEF389swMhd,GkKwDseXozI85S3H,10:09.6,null,
l4Z3BWRLhV7eBaOt,06p1pUIn1BHORqhz,58:37.1,null,
